Compared Result of  two versions
Number of New Class: 6
Number of Changed Class: 0
Number of Deleted Class: 0
new Added class 0 : net.sf.freecol.common.model.Game: 
new Added class 1 : net.sf.freecol.server.control.InGameController: 
new Added class 2 : net.sf.freecol.common.model.Player: 
new Added class 3 : net.sf.freecol.common.model.PlayerTest: 
new Added class 4 : net.sf.freecol.server.model.ServerPlayer: 
new Added class 5 : net.sf.freecol.server.model.ServerPlayerTest: 
testing relationship 
class 0  vs  class 2£º  r0:0  r1:0  r2:0  r3:3  r4:0  r5:8  r6:0  r7:0  r8:18  r9:0  r10:1  r11:16  r12:0  r13:5  r14:11  r15:0  r16:3  r17:0  
class 1  vs  class 0£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:14  r12:0  r13:8  r14:0  r15:0  r16:0  r17:0  
class 1  vs  class 2£º  r0:0  r1:0  r2:0  r3:4  r4:1  r5:2  r6:0  r7:0  r8:0  r9:0  r10:0  r11:33  r12:0  r13:18  r14:4  r15:0  r16:2  r17:0  
class 1  vs  class 4£º  r0:0  r1:0  r2:0  r3:8  r4:1  r5:1  r6:0  r7:0  r8:0  r9:0  r10:0  r11:77  r12:0  r13:3  r14:234  r15:0  r16:14  r17:0  
class 2  vs  class 0£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:8  r15:0  r16:2  r17:0  
class 3  vs  class 0£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:32  r12:0  r13:39  r14:0  r15:0  r16:0  r17:0  
class 3  vs  class 2£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:88  r12:0  r13:18  r14:0  r15:0  r16:27  r17:0  
class 4  vs  class 0£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:2  r15:0  r16:0  r17:0  
class 4  vs  class 2£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 5  vs  class 0£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:16  r12:0  r13:10  r14:0  r15:0  r16:0  r17:0  
class 5  vs  class 1£º  r0:0  r1:0  r2:0  r3:2  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:3  r12:0  r13:19  r14:0  r15:0  r16:0  r17:0  
class 5  vs  class 2£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:4  r14:0  r15:0  r16:0  r17:0  
class 5  vs  class 4£º  r0:0  r1:0  r2:0  r3:6  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:19  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
record  0 :  0   1 :  1   2 :  0   3 :  23   4 :  2   5 :  11   6 :  0   7 :  0   8 :  18   9 :  0   10 :  1   11 :  298   12 :  0   13 :  124   14 :  259   15 :  0   16 :  48   17 :  0   
