Dialog has been removed due to the repository version iteration
MMessage : ['There are no coupling dependencies between these two entities']
MAboutDialog : ['There are no coupling dependencies between these two entities']
TaskTable : ['There are no coupling dependencies between these two entities']
WikiPanel : ['There are no coupling dependencies between these two entities']
InternetSearchPanel : ['There are no coupling dependencies between these two entities']
PrintDialog : ['There are no coupling dependencies between these two entities']
FSHelper : ['There are no coupling dependencies between these two entities']
NewFileDialog : ['There are no coupling dependencies between these two entities']
FormPanel : ['There are no coupling dependencies between these two entities']
TreeFS : ['There are no coupling dependencies between these two entities']
MIconChooser : ['There are no coupling dependencies between these two entities']
ScriptIDE : ['There are no coupling dependencies between these two entities']
AddFeedDialog : ['There are no coupling dependencies between these two entities']
