UnitIterator has been removed due to the repository version iteration
IndianDemandMission : ['There are no coupling dependencies between these two entities']
IndianBringGiftMission : ['There are no coupling dependencies between these two entities']
MetaServer : ['There are no coupling dependencies between these two entities']
AIColony : ['There are no coupling dependencies between these two entities']
AbstractOption : ['There are no coupling dependencies between these two entities']
FreeColServer : ['There are no coupling dependencies between these two entities']
AIPlayer : ['There are no coupling dependencies between these two entities']
TransportMission : ['There are no coupling dependencies between these two entities']
ErrorPanel : ['There are no coupling dependencies between these two entities']
PreGameInputHandler : ['There are no coupling dependencies between these two entities']
